,Unnamed: 0,@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,prism:eIssn,prism:issueIdentifier,prism:isbn,pubmed-id,error
10,10,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84925536468', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84925536468?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84925536468&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925536468&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84925536468,SCOPUS_ID:84925536468,2-s2.0-84925536468,Life cycle assessment of two biologically produced phase change materials and their related products,Noël J.,International Journal of Life Cycle Assessment,09483349,20,367-376,2015-01-01,2015,10.1007/s11367-014-0831-1,,19.0,"[{'@_fa': 'true', 'affilname': 'Dalhousie University', 'affiliation-city': 'Halifax', 'affiliation-country': 'Canada'}]",Journal,ar,Article,,23271.0,0,False,16147502,3,,,
11,11,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84892722651', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84892722651?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84892722651&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84892722651&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84892722651,SCOPUS_ID:84892722651,2-s2.0-84892722651,"2014 4th International Conference on Mechanical Science and Engineering, ICMSE 2014",,Applied Mechanics and Materials,16609336,472,,2014-01-27,2014,,,0.0,,Book Series,cr,Conference Review,,4700151914.0,0,False,16627482,,"[{'@_fa': 'true', '$': '9783037859650'}]",,
12,14,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84897048825', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84897048825?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84897048825&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84897048825&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84897048825,SCOPUS_ID:84897048825,2-s2.0-84897048825,Climate Change Impacts Due to Biogenic Carbon: Addressing the Issue of Attribution Using Two Metrics With Very Different Outcomes,Guest G.,Journal of Sustainable Forestry,10549811,33,298-326,2014-01-01,April 2014,10.1080/10549811.2013.872997,,8.0,"[{'@_fa': 'true', 'affilname': 'Norges Teknisk-Naturvitenskapelige Universitet', 'affiliation-city': 'Trondheim', 'affiliation-country': 'Norway'}]",Journal,ar,Article,,22877.0,0,False,1540756X,3,,,
13,22,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84876412717', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84876412717?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84876412717&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876412717&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84876412717,SCOPUS_ID:84876412717,2-s2.0-84876412717,"Quantifying the greenhouse benefits of the use of wood products in two popular house designs in Sydney, Australia",Ximenes F.,International Journal of Life Cycle Assessment,09483349,18,891-908,2013-05-01,May 2013,10.1007/s11367-012-0533-5,,37.0,"[{'@_fa': 'true', 'affilname': 'NSW Department of Primary Industries', 'affiliation-city': None, 'affiliation-country': 'Australia'}]",Journal,ar,Article,,23271.0,0,False,16147502,4,,,
14,23,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84885481780', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84885481780?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84885481780&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885481780&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84885481780,SCOPUS_ID:84885481780,2-s2.0-84885481780,Building materials in the operational phase: Impacts of direct carbon exchanges and hygrothermal effects nordby and shea building materials in the operational phase,Nordby A.,Journal of Industrial Ecology,10881980,17,763-776,2013-01-01,October 2013,10.1111/jiec.12046,,15.0,"[{'@_fa': 'true', 'affilname': 'Norges Teknisk-Naturvitenskapelige Universitet', 'affiliation-city': 'Trondheim', 'affiliation-country': 'Norway'}]",Journal,ar,Article,,23411.0,0,False,15309290,5,,,
15,24,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84870330655', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84870330655?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84870330655&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870330655&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0957582012001188'}",https://api.elsevier.com/content/abstract/scopus_id/84870330655,SCOPUS_ID:84870330655,2-s2.0-84870330655,Is biochar or straw-bale construction a better carbon storage from a life cycle perspective?,Mattila T.,Process Safety and Environmental Protection,09575820,90,452-458,2012-11-01,November 2012,10.1016/j.psep.2012.10.006,S0957582012001188,11.0,"[{'@_fa': 'true', 'affilname': 'Finnish Environment Institute', 'affiliation-city': 'Helsinki', 'affiliation-country': 'Finland'}]",Journal,ar,Article,,13754.0,0,False,,6,,,
16,25,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84863708210', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84863708210?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84863708210&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84863708210&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84863708210,SCOPUS_ID:84863708210,2-s2.0-84863708210,Low carbon construction using Guadua Bamboo in Colombia,Archila-Santos H.,Key Engineering Materials,10139826,517,127-134,2012-07-16,2012,10.4028/www.scientific.net/KEM.517.127,,12.0,"[{'@_fa': 'true', 'affilname': 'University of Bath', 'affiliation-city': 'Bath', 'affiliation-country': 'United Kingdom'}]",Book Series,cp,Conference Paper,,12378.0,0,False,,,"[{'@_fa': 'true', '$': '9783037854358'}]",,
17,26,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/79958107063', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/79958107063?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79958107063&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79958107063&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/79958107063,SCOPUS_ID:79958107063,2-s2.0-79958107063,The growing role of wood in building sustainability,Kam-Biron M.,AEI 2011: Building Integrated Solutions - Proceedings of the AEI 2011 Conference,,,318-326,2011-06-13,2011,10.1061/41168(399)38,,3.0,"[{'@_fa': 'true', 'affilname': 'WoodWorks', 'affiliation-city': None, 'affiliation-country': 'United States'}]",Conference Proceeding,cp,Conference Paper,,19900191858.0,0,False,,,"[{'@_fa': 'true', '$': '9780784411681'}]",,
18,31,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/30444442534', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/30444442534?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=30444442534&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=30444442534&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/30444442534,SCOPUS_ID:30444442534,2-s2.0-30444442534,Carbon pool and substitution effects of an increased use of wood in buildings in Switzerland: First estimates,Werner F.,Annals of Forest Science,12864560,62,889-902,2005-12-01,December 2005,10.1051/forest:2005080,,31.0,"[{'@_fa': 'true', 'affilname': 'Environment and Development', 'affiliation-city': 'Zurich', 'affiliation-country': 'Switzerland'}]",Journal,cp,Conference Paper,,25557.0,1,True,1297966X,8,,,
19,0,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/81155155980', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/81155155980?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=81155155980&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=81155155980&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/81155155980,SCOPUS_ID:81155155980,2-s2.0-81155155980,Materials for Energy Efficiency and Thermal Comfort in Buildings,Hall M.,Materials for Energy Efficiency and Thermal Comfort in Buildings,,,1-734,2010-01-01,April 2010,10.1533/9781845699277,,41.0,"[{'@_fa': 'true', 'affilname': 'University of Nottingham', 'affiliation-city': 'Nottingham', 'affiliation-country': 'United Kingdom'}]",Book,bk,Book,,21100318445.0,0,False,,,"[{'@_fa': 'true', '$': '9781845695262'}]",,
20,0,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85076705308', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85076705308?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076705308&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076705308&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85076705308,SCOPUS_ID:85076705308,2-s2.0-85076705308,Increased Use of Timber in New Buildings in Oslo and Akershus: Potentials and GHG Emission Effects,Nygaard M.,Frontiers in Built Environment,,5,,2019-11-22,22 November 2019,10.3389/fbuil.2019.00131,,0.0,"[{'@_fa': 'true', 'affilname': 'Arkitektur- og designhøgskolen i Oslo', 'affiliation-city': 'Oslo', 'affiliation-country': 'Norway'}]",Journal,ar,Article,131,21100897005.0,1,True,22973362,,,,
21,1,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84926513933', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84926513933?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84926513933&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84926513933&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84926513933,SCOPUS_ID:84926513933,2-s2.0-84926513933,Energy aspects and ventilation of food retail buildings,Kolokotroni M.,Advances in Building Energy Research,17512549,9,1-19,2015-01-01,2 January 2015,10.1080/17512549.2014.897252,,7.0,"[{'@_fa': 'true', 'affilname': 'Brunel University London', 'affiliation-city': 'Uxbridge', 'affiliation-country': 'United Kingdom'}]",Journal,ar,Article,,19400158302.0,0,False,17562201,1,,,
22,5,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84914151529', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84914151529?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84914151529&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84914151529&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84914151529,SCOPUS_ID:84914151529,2-s2.0-84914151529,The carbon impacts of wood products,Bergman R.,Forest Products Journal,00157473,64,220-231,2014-01-01,2014,10.13073/FPJ-D-14-00047,,34.0,"[{'@_fa': 'true', 'affilname': 'USDA Forest Products Laboratory', 'affiliation-city': 'Madison', 'affiliation-country': 'United States'}]",Journal,re,Review,,24976.0,0,False,,7-8,,,
23,1,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85083873047', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85083873047?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083873047&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083873047&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0306261920305821'}",https://api.elsevier.com/content/abstract/scopus_id/85083873047,SCOPUS_ID:85083873047,2-s2.0-85083873047,A review of metal-organic frameworks (MOFs) as energy-efficient desiccants for adsorption driven heat-transformation applications,Karmakar A.,Applied Energy,03062619,269,,2020-07-01,1 July 2020,10.1016/j.apenergy.2020.115070,S0306261920305821,0.0,"[{'@_fa': 'true', 'affilname': 'National University of Singapore', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}]",Journal,ar,Article,115070,28801.0,0,False,,,,,
24,2,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85073441806', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85073441806?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073441806&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073441806&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85073441806,SCOPUS_ID:85073441806,2-s2.0-85073441806,Hygrothermal properties of raw earth materials: A literature review,Giuffrida G.,Sustainability (Switzerland),,11,,2019-10-01,1 October 2019,10.3390/su11195342,,1.0,"[{'@_fa': 'true', 'affilname': 'Università degli Studi di Catania', 'affiliation-city': 'Catania', 'affiliation-country': 'Italy'}]",Journal,re,Review,5342,21100240100.0,1,True,20711050,19,,,
25,3,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85073554360', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85073554360?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073554360&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073554360&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85073554360,SCOPUS_ID:85073554360,2-s2.0-85073554360,"Sustainable rammed earth structure: A structurally integral, cost-effective and eco-friendly alternative to conventional construction material",Totla P.,International Journal of Innovative Technology and Exploring Engineering,,8,453-458,2019-09-01,September 2019,10.35940/ijitee.K1077.09811S19,,0.0,"[{'@_fa': 'true', 'affilname': 'National Institute of Construction Management and Research', 'affiliation-city': 'Hyderabad', 'affiliation-country': 'India'}]",Journal,ar,Article,,21100889409.0,1,True,22783075,11 Special Issue,,,
26,4,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85069747262', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85069747262?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85069747262&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069747262&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85069747262,SCOPUS_ID:85069747262,2-s2.0-85069747262,Design of a solar AC system including a PCM storage for sustainable resorts in tropical region,Byrne P.,Evergreen,21890420,6,143-148,2019-06-01,June 2019,10.5109/2321009,,0.0,"[{'@_fa': 'true', 'affilname': 'Université de Rennes', 'affiliation-city': 'Rennes', 'affiliation-country': 'France'}]",Journal,ar,Article,,21100812868.0,0,False,24325953,2,,,
27,5,True,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85071775890', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85071775890?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071775890&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071775890&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85071775890,SCOPUS_ID:85071775890,2-s2.0-85071775890,"Moisture safety of wooden buildings – design, construction and operation",Mjörnell K.,Journal of Sustainable Architecture and Civil Engineering,20299990,24,29-35,2019-04-17,17 April 2019,10.5755/j01.sace.24.1.22341,,0.0,"[{'@_fa': 'true', 'affilname': 'RISE Research Institutes of Sweden AB', 'affiliation-city': 'Gothenburg', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'Lunds Universitet', 'affiliation-city': 'Lund', 'affiliation-country': 'Sweden'}]",Journal,ar,Article,,21100927390.0,0,False,23352000,1,,,
